"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max","bobc_detected"
353,"San Mateo",3.21819504372464,"Sam McDonald Park",2,9,0.220777901316076,"ns",NA,2,1,0.5,0.0000000882872015495195,0.00000012531936022242,1
358,"Marin",10.3386239657238,"Samuel P. Taylor State Park",3,14,8.96290078605253,"hot","occ_hot_effort_not_TRUSTED",0,0,NA,0.0000000303231040277296,0.000000368061478184245,1
372,"San Mateo",0.117901239756017,"San Bruno City Park",0,4,-0.391574436040347,"ns",NA,0,0,NA,0.00000000000000000000635715563779886,0.0000000000000000000837330247916024,0
378,"San Mateo",0.378200061485235,"San Bruno Mountain Ecological Reserve",0,8,-0.373857626907596,"ns",NA,0,0,NA,NA,NA,0
393,"Sonoma",0.106900260289144,"San Francisco Archdiocese",0,0,-0.125822299049072,"ns",NA,0,0,NA,0.000000000000466376178127892,0.00000000000145966160165767,NA
402,"Santa Clara",57.4303313498671,"San Francisco Watershed Lands",6,8,2.33681417040341,"ns",NA,6,1,0.166666666666667,0.0000000817058349866784,0.00000107545986338664,1
413,"San Mateo",1.05419759614862,"San Gregorio State Beach",0,3,-0.196689535580079,"ns",NA,0,0,NA,0.00000000194794735897119,0.00000000606016037352219,0
421,"San Mateo",0.730850871846965,"San Gregorio State Beach",0,3,-0.196689535580079,"ns",NA,0,0,NA,0.000000000656717902280946,0.00000000382747300520236,0
441,"Alameda",0.127439698005242,"San Lorenzo Community Park",0,1,-0.391574436040347,"ns",NA,0,0,NA,0.000000301413365377812,0.000000321670313496725,0
455,"San Mateo",0.447683975329434,"San Mateo Properties",0,2,-0.373857626907596,"ns",NA,0,0,NA,0.00000000000335875489747284,0.00000000000972971963414393,0
461,"Sonoma",3.06198838074724,"San Pablo Bay National Wildlife Refuge",0,6,-0.391574436040347,"ns",NA,0,0,NA,0.000000000058725871387999,0.000000000292988439065667,0
470,"San Mateo",3.14247236177163,"Big Basin Redwoods State Park",0,4,-0.364362988401607,"ns",NA,0,0,NA,0.00000000480285011761339,0.0000000716976558123861,0
491,"Marin",1.50564761191256,"San Pedro Mountain Open Space Preserve",0,4,-0.4726910341421,"ns",NA,0,0,NA,0.00000000000000000441602984515775,0.0000000000000000824801376413529,0
499,"San Mateo",5.16856200720077,"San Pedro Valley Park",10,16,-0.0275657959246813,"ns",NA,9,0,0,0.0000000000000221462049545228,0.00000000000131269691297509,1
516,"Santa Clara",0.666423803360394,"Lexington Reservoir",0,0,-0.0757242462723633,"ns",NA,0,0,NA,0.000000142294283023148,0.000000354049404904799,NA
520,"Solano",0.146718555985344,"Sandy Beach Park",0,0,-0.409291245173099,"cold",NA,0,0,NA,NA,NA,NA
542,"Santa Clara",6.69716848015362,"Santa Teresa County Park",6,14,-0.0341133060762299,"ns",NA,5,0,0,0.00000000573160097161463,0.000000064039312519526,1
546,"Marin",0.130853985680166,"Santa Venetia Marsh Open Space Preserve",0,1,-0.51997350927514,"ns",NA,0,0,NA,NA,NA,0
563,"Santa Clara",3.11156153531514,"Saratoga Gap Open Space Preserve",0,3,0.0729074383380322,"ns",NA,0,0,NA,0.000000236125615060701,0.000000449823062353971,0
581,"San Mateo",4.36466830250848,"Skyline Ridge Open Space Preserve",21,14,0.579507984511585,"ns",NA,24,3,0.125,0.0000000226968666083849,0.000000106171157199242,1
586,"Alameda",1.03023835142162,"Quarry Lakes Regional Recreation Area",0,8,-0.397724246781541,"ns",NA,0,0,NA,0.000000210077416795684,0.000000254949185318765,0
602,"Marin",0.2054120084314,"Scottsdale Marsh",0,2,-0.601247404004845,"ns",NA,0,0,NA,0.00000000000000000313837494281447,0.0000000000000000114634734200794,0
604,"Sonoma",2.96511468215771,"SCWA",10,10,-0.0903886807835692,"ns",NA,8,0,0,0.000000148156715340519,0.00000219869366446801,1
606,"San Mateo",0.183277995308431,"Sea Cloud Park",0,4,-0.42081347728328,"ns",NA,0,0,NA,0.000000108957124211884,0.000000111413939407612,0
628,"Solano",1.67756541829494,"Serpas Ranch Open Space",1,0,-0.414808436476993,"cold",NA,1,0,0,NA,NA,1
650,"Santa Cruz",0.839902608957724,"Santa Cruz Long-Toed Salamander Ecological Reserve",1,3,-0.468908564254015,"ns",NA,0,0,NA,0.0000000818312599903948,0.000000834701836538443,1
669,"Santa Cruz",0.123943394420586,"Scott Creek Beach County Park",0,2,-0.178972726447328,"ns",NA,0,0,NA,0.00000000000015644745969632,0.000000000000989583523632043,0
678,"San Francisco",0.534101179241322,"SF Zoological Gardens",0,15,-0.478019951338883,"ns",NA,0,0,NA,0.0000000749203579175628,0.000000102192792894584,0
714,"Santa Cruz",0.328879327445677,"Seacliff State Beach",0,9,-0.285273581243837,"ns",NA,0,0,NA,0.00000000000647918394283686,0.0000000000278303179113149,0
734,"Contra Costa",1.49586703312118,"Bishop Ranch Regional Open Space Preserve",1,4,-0.427151662527811,"ns",NA,0,0,NA,0.000000802937563548767,0.00000189189347565843,1
741,"Contra Costa",5.519336029518,"Shell Ridge Open Space",17,11,1.24666544214221,"ns",NA,15,0,0,NA,NA,1
746,"Alameda",0.218957219205789,"Shepherd Canyon Park",2,3,-0.37203689532068,"ns",NA,0,0,NA,0.000000331680325871275,0.000000616974261902214,1
750,"Sonoma",3.41248001960474,"Shiloh Ranch Regional Park",3,13,-0.108105489916321,"ns",NA,3,0,0,0.000000265346898231655,0.000000547118645499722,1
767,"Alameda",0.133834396782723,"Shoreline Park",0,8,-0.452893046213247,"cold",NA,0,0,NA,0.000000000433616031969564,0.00000000155301771442851,0
780,"Santa Clara",26.790477063653,"Sierra Azul Open Space Preserve",11,13,-0.0430567351695815,"ns",NA,11,0,0,0.0000000186814013147796,0.000000325702018244556,1
784,"Contra Costa",4.17513261279857,"Black Diamond Mines Regional Preserve",0,0,-0.313917540326221,"ns",NA,0,0,NA,NA,NA,NA
805,"San Francisco",0.136708215529779,"Sigmund Stern Grove",0,8,-0.551599668992771,"cold",NA,0,0,NA,0.000000173057600250104,0.000000288189625052837,0
810,"San Mateo",0.18370575495287,"Sign Hill Park",0,3,-0.427151662527811,"ns",NA,0,0,NA,NA,NA,0
837,"Napa",3.59488676261639,"Silverado Trail Rector Dam Watershed",0,0,-0.356140817774844,"ns",NA,0,0,NA,0.000000616900422301114,0.00000142993849294726,NA
